# term	zh	abbr	definition	status	matched_concept_id	gbt_id
magnetic confinement fusion	磁约束核聚变	MCF	利用强磁场将高温度和高密度等离子体约束足够长的时间而产生的核聚变反应，可以通过托卡马克(2.1.284)、仿星器(2.1.273)、反场箍缩(2.2.117)、Z箍缩(2.1.306)以及 θ 箍缩(2.1.283)等途径实现。	new		2.1.1
confinement system	封闭系统		限制放射性物质和有害物质的最大泄漏率不超过规定限值的系统。	exists	confinement-system	2.4.24
"Cordey" Pass	"科第"通路		运行密度与温度中的一个点，它使加热等离子体至受控点火值所需的辅助功率最小。	new		2.4.25
critical heat flux	临界热流密度	CHF	偏离泡核沸腾且泡沫结成绝热层时的热通量值。	exists	critical-heat-flux	2.4.26
cryoplant	低温工厂		用于生产液氨和液氮等冷却剂的工厂。	exists	cryoplant	2.4.27
demonstration reactor	示范反应堆	DEMO	商用聚变堆前用于演示商用堆功能的聚变堆。	exists	demo	2.4.28
design-basis accident	设计基准事故	DBA	按照确定的设计准则在设计中可采取针对性措施的事故工况。	exists	design-basis-accident	2.4.29
down-time	停堆时间		装置计划维护或因其他原因而停止运行的时间。	new		2.4.30
D-T operation	氘-氚运行		氘氚混合比例大致相等的聚变等离子体运行。	new		2.4.31
duty factor	占空因数		在断续运行装置中，其运行时间与总时间之比。	new		2.4.32
dwell time	停留时间		运行脉冲中不燃烧的时间。	new		2.4.33
engineering design activity	工程设计活动	EDA	在完成概念设计之后，进行满足工程建造要求达到预期功能的详细设计活动。在ITER(2.4.47)中特指1992年～2001年期间的活动。	new		2.4.34
Flibe	氟锂铍混合体		由氟、锂和铍组成的熔盐，可用于聚变堆包层的增殖材料。	exists	flibe	2.4.35
fuel cycle system	燃料循环系统		从等离子体排气流中提取氘、氚并将其重新注入等离子体的系统。同时，处理废物中的含氘物质。	exists	fuel-cycle-system	2.4.36
fuels	燃米.		聚变堆的燃料，主要包括氘、氚。	new		2.4.37
functional isolation	功能隔离		避免一个回路或系统的操作模式或失效对其他部分的影响的措施。	exists	functional-isolation	2.4.38
fusion-fission hybrid reactor	聚变-裂变混合堆	FFH或FFHR	由聚变和裂变反应生产能量的反应堆。一般由含有裂变材料的次临界包层包围聚变中子源。如果在包层中也包含可转换材料，那么，反应堆将产生额外的裂变材料。也称为混合堆(hybrid reactor)。	new		2.4.39
fusion power	聚变功率		由聚变反应产生的功率，主要由中子及 α 粒子携带。	new		2.4.40
fusion power plant	聚变电厂		由核聚变反应提供能量的电厂。国际聚变研究的规划是先建造ITER(2.4.47)，再建造示范聚变电厂。	exists	fusion-power-plant	2.4.41
fusion product	聚变产物		氘-氘等离子体聚变反应时产生的 α 粒子和中子等。	new		2.4.42
fusionreactivity	聚变反应率		实现聚变反应的离子数与总离子数之比。	exists	fusion-reactivity	2.4.43
fusion reactor	聚变堆		利用可控聚变反应产生聚变能的装置。	exists	fusion-reactor	2.4.44
helium ash	氦灰		在氘-氚等离子体中，聚变反应产生的高能 α 粒子(氦核)被等离子体慢化后成为氦灰。	exists	helium-ash	2.4.45
ignition condition	点火条件		自持聚变反应条件：对氘-氚等离子体， α 粒子加热等于等离子体热损失。	exists	ignition-condition	2.4.46
International Thermonuclear Experimental Reactor	国际核聚变实验堆	ITER	由中国、美国、欧盟、日本、俄罗斯、韩国及印度七方共同建造的核聚变实验堆。	exists	iter	2.4.47
ITERunitsofaccount	ITER记账单位	IUA	一个ITER记账单位，等价于1998年的1000美元。	new		2.4.48
International Tokamak Reactor	国际托卡马克反应堆	INTOR	在国际原子能机构(International Atomic Energy Agency,IAEA)组织下的，由美国、日本和欧洲共 同体设计的大型托卡马克装置，后被ITER取代。	new		2.4.49
mockup	样块		可以将真实应用于装置上部件的某些或全部特性复制出来的样件。例如，ITER部件试验样件。	new		2.4.50
modelcoil	模型线圈		用于反映ITER磁体线圈关键特性的测试线圈。	new		2.4.51
port plugs	端口插件		ITER真空室的上部、中部及下部包含了大量的端口，在运行中端口中均安装有用于等离子体诊断、加热、抽真空的部件，以及限制器和与示范堆(DEMO)相关的试验包层模块。每一个设备均安装于一个特定的窗口插座上，为它们提供与邻近室、包层、屏蔽层的坚固接口，同时还将外部供应与端口插件服务连接。	new		2.4.52
remote handling	远程操作		通过机电设备控制在聚变堆中远距离操作的活动。	exists	remote-handling	2.4.53
remote handling class	远程操作等级		等级I为例行的远距离计划维修，等级Ⅱ为在电厂的生命周期内进行的远程维修或更换，等级Ⅲ为不必在电厂的生命周期内进行的远距离维修或更换，等级IV为不要求任何远距离维修或更换。	new		2.4.54
remote maintenance	远距离维修		使用远距离控制的机器和工具对聚变堆中的放射性单元和部件进行维护与改造。	exists	remote-maintenance	2.4.55
residual heat	残余热		聚变堆停堆后由活化产物产生的衰变热。	exists	decay-heat	2.4.56
safety system settings	安全系统设置		在预期运行事件和事故情况下，启动自动保护装置的某些阀值触发点以确保安全极限不被超出。	exists	safety-system-settings	2.4.57
safety system	安全系统		为保障聚变堆关断安全或限制预期运行事件和事故后果而与安全密切相关的系统。	exists	safety-system	2.4.58
safety system support feature	安全系统支撑设施		提供保护系统及启动安全系统所需的冷却、润滑、能量供应服务的一系列设备。	new		2.4.59
scheduled down time	计划内停堆时间		按计划的聚变堆停堆时间。	new		2.4.60
shut-down time	关断时间		在等离子体燃烧结束到等离子体状态结束之间的时间跨度，是运行时间的一部分。	new		2.4.61
single failure	单一故障		一个导致部件不能以最好的性能执行其安全功能的随机失效事件引起的故障。	exists	single-failure	2.4.62
steady-state fusion reactor	稳态聚变堆		诸如温度、反应率及中子通量等条件不随时间变化的聚变反应堆。	new		2.4.63
steady-state operation	稳态运行		聚变堆主要参数在远大于 α 粒子慢化时间或磁扰动穿透等离子体的时间或机械结构热平衡的时间内保持不变的运行。	exists	steady-state-operation	2.4.64
support systems	支持系统		为聚变堆主系统提供服务的辅助系统。	new		2.4.65
ITER test blanket module	ITER 试验包层模块	TBM	在ITER装置实验窗口进行中子学和氘增殖、热工水力、电磁、整体性能测试的试验模块。	new		2.4.66
thermonuclear reactor	热核反应堆		能维持和控制自持聚变反应的装置，又称聚变堆(fusion reactor)。	new		2.4.67
thermonuclearreactorblanket	热核反应堆包层		在未来的聚变反应堆中，围绕着等离子体的一组包套。它可以采取锂从中流过或由冷却剂(如氦)和锂陶瓷材料组成的结构形式。这个包层有3个用途：由锂产生氚；排除热量；吸收来自等离子体的辐射，从而保护外面的超导线圈。	new		2.4.68
tritium breeding ratio	氚增殖比	TBR	聚变堆增殖包层中单位时间氚产量相对氚消耗量的比值。	exists	tritium-breeding-ratio	2.4.69
tritium handling	氚处理		从载氚流体、装置排出气体和泄漏含氚气体中提取氚，并安全收储或成为等离子体燃料的过程。参见氚工厂(2.4.71)。	exists	tritium-processing	2.4.70
tritium plant	氚工厂		从聚变堆的燃料系统及其他含氚材料中收集、储藏、循环利用、提取及净化氚的设施。	exists	tritium-plant	2.4.71
vacuum vessel	真空室	VV	在聚变装置中为获得等离子体而提供的高真空容器。	exists	vacuum-vessel	2.4.72
wall loading	壁载荷		第一壁或偏滤器靶板上单位面积的热通量，即聚变堆热输出功率除以面向等离子体的面积。	new		2.4.73
