# concept_id	lang	definition	source
safety-related-system	zh	聚变/核工程术语，对应英文“safety related system”。	internal:dict-improvements
safety-standards	zh	聚变/核工程术语，对应英文“safety standards”。	internal:dict-improvements
safety-system-support-features	zh	聚变/核工程术语，对应英文“safety system support features”。	internal:dict-improvements
safety-task	zh	聚变/核工程术语，对应英文“safety task”。	internal:dict-improvements
sausage-instability	en	Fusion/nuclear engineering term referring to 'sausage instability' in technical context.	internal:dict-improvements
sawtooth	en	Fusion/nuclear engineering term referring to 'sawtooth' in technical context.	internal:dict-improvements
sawtooth-crash	en	Fusion/nuclear engineering term referring to 'sawtooth crash' in technical context.	internal:dict-improvements
scatter-plot	en	Fusion/nuclear engineering term referring to 'scatter plot' in technical context.	internal:dict-improvements
scatter-plot	zh	聚变/核工程术语，指“散点图”这一技术概念。	internal:dict-improvements
scenario	zh	聚变/核工程术语，对应英文“scenario”。	internal:dict-improvements
scenario-development	en	Fusion/nuclear engineering term referring to 'scenario development' in technical context.	internal:dict-improvements
scenario-development	zh	聚变/核工程术语，指“运行场景开发”这一技术概念。	internal:dict-improvements
scram	zh	聚变/核工程术语，对应英文“scram”。	internal:dict-improvements
scratch-filesystem	en	Fusion/nuclear engineering term referring to 'scratch filesystem' in technical context.	internal:dict-improvements
scratch-filesystem	zh	聚变/核工程术语，指“临时文件系统”这一技术概念。	internal:dict-improvements
screening	zh	聚变/核工程术语，对应英文“screening”。	internal:dict-improvements
screening-distance-value	zh	聚变/核工程术语，对应英文“screening distance value (SDV)”。	internal:dict-improvements
screening-probability-level	zh	聚变/核工程术语，对应英文“screening probability level (SPL)”。	internal:dict-improvements
sdk	en	Fusion/nuclear engineering term referring to 'SDK' in technical context.	internal:dict-improvements
sdk	zh	聚变/核工程术语，指“SDK”这一技术概念。	internal:dict-improvements
seabed-disposal	zh	聚变/核工程术语，对应英文“seabed disposal”。	internal:dict-improvements
sealed-source	zh	聚变/核工程术语，对应英文“sealed source”。	internal:dict-improvements
sealing	en	Fusion/nuclear engineering term referring to 'sealing' in technical context.	internal:dict-improvements
sealing	zh	聚变/核工程术语，指“密封”这一技术概念。	internal:dict-improvements
secondary-loop	en	Fusion/nuclear engineering term referring to 'secondary loop' in technical context.	internal:dict-improvements
secondary-loop	zh	聚变/核工程术语，指“二回路”这一技术概念。	internal:dict-improvements
secondary-waste	zh	聚变/核工程术语，指“二次废物”这一技术概念。	internal:dict-improvements
sector-sub-assembly	en	Fusion/nuclear engineering term referring to 'Sector Sub-Assembly' in technical context.	internal:dict-improvements
sector-sub-assembly	zh	聚变/核工程术语，指“扇区子装配”这一技术概念。	internal:dict-improvements
security	zh	聚变/核工程术语，对应英文“security”。	internal:dict-improvements
segregation	zh	聚变/核工程术语，对应英文“segregation”。	internal:dict-improvements
seismogenic-structure	zh	聚变/核工程术语，对应英文“seismogenic structure”。	internal:dict-improvements
seismotectonic-model	zh	聚变/核工程术语，对应英文“seismotectonic model”。	internal:dict-improvements
self-assessment	zh	聚变/核工程术语，对应英文“self-assessment”。	internal:dict-improvements
self-sputtering	en	Fusion/nuclear engineering term referring to 'self-sputtering' in technical context.	internal:dict-improvements
self-sputtering	zh	聚变/核工程术语，指“自溅射”这一技术概念。	internal:dict-improvements
senior-management	zh	聚变/核工程术语，对应英文“senior management”。	internal:dict-improvements
service-conditions	zh	聚变/核工程术语，对应英文“service conditions”。	internal:dict-improvements
service-life	zh	聚变/核工程术语，对应英文“service life”。	internal:dict-improvements
severe-accident	zh	聚变/核工程术语，指“严重事故”这一技术概念。	internal:dict-improvements
severe-accident-management	zh	聚变/核工程术语，对应英文“severe accident management”。	internal:dict-improvements
severe-deterministic-effect	zh	聚变/核工程术语，对应英文“severe deterministic effect”。	internal:dict-improvements
shape-control	en	Fusion/nuclear engineering term referring to 'shape control' in technical context.	internal:dict-improvements
shape-control	zh	聚变/核工程术语，指“形状控制”这一技术概念。	internal:dict-improvements
shared-library	en	Fusion/nuclear engineering term referring to 'shared library' in technical context.	internal:dict-improvements
shared-library	zh	聚变/核工程术语，指“共享库”这一技术概念。	internal:dict-improvements
sheared-flow-z-pinch	en	Fusion/nuclear engineering term referring to 'sheared-flow Z-pinch' in technical context.	internal:dict-improvements
sheared-flow-z-pinch	zh	聚变/核工程术语，指“剪切流Z箍缩”这一技术概念。	internal:dict-improvements
sheltering	zh	聚变/核工程术语，对应英文“sheltering”。	internal:dict-improvements
shield-block-module	zh	聚变/核工程术语，对应英文“Shield Block Module”。	internal:dict-improvements
shielding-labyrinth	en	Fusion/nuclear engineering term referring to 'shielding labyrinth' in technical context.	internal:dict-improvements
shielding-labyrinth	zh	聚变/核工程术语，指“迷宫通道”这一技术概念。	internal:dict-improvements
shielding-penetration	en	Fusion/nuclear engineering term referring to 'shielding penetration' in technical context.	internal:dict-improvements
shielding-penetration	zh	聚变/核工程术语，指“屏蔽穿透”这一技术概念。	internal:dict-improvements
shipment	zh	聚变/核工程术语，对应英文“shipment”。	internal:dict-improvements
short-lived-waste	zh	聚变/核工程术语，对应英文“short lived waste”。	internal:dict-improvements
shutdown	zh	聚变/核工程术语，对应英文“shutdown”。	internal:dict-improvements
shutdown-reactivity	zh	聚变/核工程术语，对应英文“shutdown reactivity”。	internal:dict-improvements
shutdown-time	zh	聚变/核工程术语，对应英文“Shutdown Time”。	internal:dict-improvements
side-reaction	en	Fusion/nuclear engineering term referring to 'side reaction' in technical context.	internal:dict-improvements
side-reaction	zh	聚变/核工程术语，指“副反应”这一技术概念。	internal:dict-improvements
sievert	zh	聚变/核工程术语，对应英文“sievert (Sv)”。	internal:dict-improvements
significant-transboundary-release	zh	聚变/核工程术语，对应英文“significant transboundary release”。	internal:dict-improvements
simulation	en	Fusion/nuclear engineering term referring to 'simulation' in technical context.	internal:dict-improvements
simulation	zh	聚变/核工程术语，指“模拟”这一技术概念。	internal:dict-improvements
single-failure-criterion	zh	聚变/核工程术语，对应英文“single failure criterion”。	internal:dict-improvements
single-helical-state	en	Fusion/nuclear engineering term referring to 'single helical state' in technical context.	internal:dict-improvements
single-helical-state	zh	聚变/核工程术语，指“单螺旋态”这一技术概念。	internal:dict-improvements
single-null	en	Fusion/nuclear engineering term referring to 'single-null' in technical context.	internal:dict-improvements
single-null	zh	聚变/核工程术语，指“单零位形”这一技术概念。	internal:dict-improvements
single-phase-flow	en	Fusion/nuclear engineering term referring to 'single-phase flow' in technical context.	internal:dict-improvements
single-phase-flow	zh	聚变/核工程术语，指“单相流”这一技术概念。	internal:dict-improvements
site-area	zh	聚变/核工程术语，对应英文“site area”。	internal:dict-improvements
site-area-emergency	zh	聚变/核工程术语，对应英文“site area emergency”。	internal:dict-improvements
site-boundary	zh	聚变/核工程术语，对应英文“site boundary”。	internal:dict-improvements
site-characterization	zh	聚变/核工程术语，对应英文“site characterization”。	internal:dict-improvements
site-confirmation	zh	聚变/核工程术语，对应英文“site confirmation (in the siting process for a disposal facility)”。	internal:dict-improvements
site-evaluation	zh	聚变/核工程术语，对应英文“site evaluation”。	internal:dict-improvements
site-personnel	zh	聚变/核工程术语，对应英文“site personnel”。	internal:dict-improvements
site-response	zh	聚变/核工程术语，对应英文“site (seismic) response”。	internal:dict-improvements
site-selection	zh	聚变/核工程术语，对应英文“site selection”。	internal:dict-improvements
site-survey	zh	聚变/核工程术语，对应英文“site survey”。	internal:dict-improvements
site-verification	zh	聚变/核工程术语，对应英文“site verification”。	internal:dict-improvements
siting	zh	聚变/核工程术语，对应英文“siting”。	internal:dict-improvements
size-scaling	en	Fusion/nuclear engineering term referring to 'size scaling' in technical context.	internal:dict-improvements
size-scaling	zh	聚变/核工程术语，指“尺寸标度”这一技术概念。	internal:dict-improvements
sl-1-sl-2	zh	聚变/核工程术语，对应英文“SL-1, SL-2”。	internal:dict-improvements
slow-wave	en	Fusion/nuclear engineering term referring to 'slow wave' in technical context.	internal:dict-improvements
slow-wave	zh	聚变/核工程术语，指“慢波”这一技术概念。	internal:dict-improvements
small-freight-container	zh	聚变/核工程术语，对应英文“small freight container”。	internal:dict-improvements
snowflake-divertor	en	Fusion/nuclear engineering term referring to 'snowflake divertor' in technical context.	internal:dict-improvements
snowflake-divertor	zh	聚变/核工程术语，指“雪花偏滤器”这一技术概念。	internal:dict-improvements
social-license	en	Fusion/nuclear engineering term referring to 'social license' in technical context.	internal:dict-improvements
social-license	zh	聚变/核工程术语，指“社会许可”这一技术概念。	internal:dict-improvements
software-dependency	en	Fusion/nuclear engineering term referring to 'dependency' in technical context.	internal:dict-improvements
software-dependency	zh	聚变/核工程术语，指“软件依赖”这一技术概念。	internal:dict-improvements
somatic-effect	zh	聚变/核工程术语，对应英文“somatic effect”。	internal:dict-improvements
sorption	zh	聚变/核工程术语，对应英文“sorption”。	internal:dict-improvements
source	zh	聚变/核工程术语，对应英文“source”。	internal:dict-improvements
source-convergence	en	Fusion/nuclear engineering term referring to 'source convergence' in technical context.	internal:dict-improvements
source-convergence	zh	聚变/核工程术语，指“源收敛”这一技术概念。	internal:dict-improvements
source-material	zh	聚变/核工程术语，对应英文“source material”。	internal:dict-improvements
source-monitoring	zh	聚变/核工程术语，对应英文“source monitoring”。	internal:dict-improvements
source-region	zh	聚变/核工程术语，对应英文“source region”。	internal:dict-improvements
source-term	zh	聚变/核工程术语，指“源项”这一技术概念。	internal:dict-improvements
special-arrangement	zh	聚变/核工程术语，对应英文“special arrangement”。	internal:dict-improvements
special-facility	zh	聚变/核工程术语，对应英文“special facility”。	internal:dict-improvements
special-fissionable-material	zh	聚变/核工程术语，对应英文“special fissionable material”。	internal:dict-improvements
special-form-radioactive-material	zh	聚变/核工程术语，对应英文“special form radioactive material”。	internal:dict-improvements
special-monitoring	zh	聚变/核工程术语，对应英文“special monitoring”。	internal:dict-improvements
special-population-group	zh	聚变/核工程术语，对应英文“special population group”。	internal:dict-improvements
spectral-transfer	en	Fusion/nuclear engineering term referring to 'spectral transfer' in technical context.	internal:dict-improvements
spectral-transfer	zh	聚变/核工程术语，指“能谱级联”这一技术概念。	internal:dict-improvements
spent-fuel	zh	聚变/核工程术语，对应英文“spent fuel”。	internal:dict-improvements
spent-fuel-management	zh	聚变/核工程术语，对应英文“spent fuel management”。	internal:dict-improvements
spent-fuel-management-facility	zh	聚变/核工程术语，对应英文“spent fuel management facility”。	internal:dict-improvements
spent-source	zh	聚变/核工程术语，对应英文“spent source”。	internal:dict-improvements
spheromak-merging	en	Fusion/nuclear engineering term referring to 'spheromak merging' in technical context.	internal:dict-improvements
spheromak-merging	zh	聚变/核工程术语，指“球马克并合”这一技术概念。	internal:dict-improvements
spin-polarized-fuel	en	Fusion/nuclear engineering term referring to 'spin-polarized fuel' in technical context.	internal:dict-improvements
spin-polarized-fuel	zh	聚变/核工程术语，指“自旋极化燃料”这一技术概念。	internal:dict-improvements
sputtering	en	Fusion/nuclear engineering term referring to 'sputtering' in technical context.	internal:dict-improvements
sputtering	zh	聚变/核工程术语，指“溅射”这一技术概念。	internal:dict-improvements
sst-1	zh	聚变/核工程术语，对应英文“SST-1”。	internal:dict-improvements
staircase-transport	en	Fusion/nuclear engineering term referring to 'staircase transport' in technical context.	internal:dict-improvements
staircase-transport	zh	聚变/核工程术语，指“阶梯输运”这一技术概念。	internal:dict-improvements
standards-dosimetry-laboratory	zh	聚变/核工程术语，对应英文“standards dosimetry laboratory”。	internal:dict-improvements
stark-broadening	en	Fusion/nuclear engineering term referring to 'Stark broadening' in technical context.	internal:dict-improvements
stark-broadening	zh	聚变/核工程术语，指“斯塔克展宽”这一技术概念。	internal:dict-improvements
state-of-destination	zh	聚变/核工程术语，对应英文“State of destination”。	internal:dict-improvements
state-of-origin	zh	聚变/核工程术语，对应英文“State of origin”。	internal:dict-improvements
state-of-transit	zh	聚变/核工程术语，对应英文“State of transit”。	internal:dict-improvements
station-blackout	en	Fusion/nuclear engineering term referring to 'station blackout' in technical context.	internal:dict-improvements
station-blackout	zh	聚变/核工程术语，指“全厂断电事故”这一技术概念。	internal:dict-improvements
steady-state-high-beta	en	Fusion/nuclear engineering term referring to 'steady-state high-beta operation' in technical context.	internal:dict-improvements
steady-state-high-beta	zh	聚变/核工程术语，指“稳态高β运行”这一技术概念。	internal:dict-improvements
steady-state-tokamak	zh	聚变/核工程术语，对应英文“Steady State Tokamak”。	internal:dict-improvements
steam-generator	en	Fusion/nuclear engineering term referring to 'steam generator' in technical context.	internal:dict-improvements
steam-generator	zh	聚变/核工程术语，指“蒸汽发生器”这一技术概念。	internal:dict-improvements
steam-turbine	en	Fusion/nuclear engineering term referring to 'steam turbine' in technical context.	internal:dict-improvements
steam-turbine	zh	聚变/核工程术语，指“汽轮机”这一技术概念。	internal:dict-improvements
steel	en	Fusion/nuclear engineering term referring to 'steel' in technical context.	internal:dict-improvements
steel	zh	聚变/核工程术语，指“钢”这一技术概念。	internal:dict-improvements
stellarator-optimization	en	Fusion/nuclear engineering term referring to 'stellarator optimization' in technical context.	internal:dict-improvements
stellarator-optimization	zh	聚变/核工程术语，指“仿星器优化”这一技术概念。	internal:dict-improvements
step-format	en	Fusion/nuclear engineering term referring to 'STEP format' in technical context.	internal:dict-improvements
step-format	zh	聚变/核工程术语，指“STEP格式”这一技术概念。	internal:dict-improvements
stimulated-brillouin-scattering	en	Fusion/nuclear engineering term referring to 'stimulated Brillouin scattering' in technical context.	internal:dict-improvements
stimulated-brillouin-scattering	zh	聚变/核工程术语，指“受激布里渊散射”这一技术概念。	internal:dict-improvements
stimulated-raman-scattering	en	Fusion/nuclear engineering term referring to 'stimulated Raman scattering' in technical context.	internal:dict-improvements
stimulated-raman-scattering	zh	聚变/核工程术语，指“受激拉曼散射”这一技术概念。	internal:dict-improvements
stl-format	en	Fusion/nuclear engineering term referring to 'STL format' in technical context.	internal:dict-improvements
stl-format	zh	聚变/核工程术语，指“STL格式”这一技术概念。	internal:dict-improvements
stochastic-analysis	zh	聚变/核工程术语，对应英文“stochastic analysis”。	internal:dict-improvements
stochastic-effect	zh	聚变/核工程术语，对应英文“stochastic effect”。	internal:dict-improvements
storage	zh	聚变/核工程术语，对应英文“storage”。	internal:dict-improvements
strain-sensitivity	en	Fusion/nuclear engineering term referring to 'strain sensitivity' in technical context.	internal:dict-improvements
strain-sensitivity	zh	聚变/核工程术语，指“应变敏感性”这一技术概念。	internal:dict-improvements
streaming	en	Fusion/nuclear engineering term referring to 'streaming' in technical context.	internal:dict-improvements
streaming	zh	聚变/核工程术语，指“辐射流窜”这一技术概念。	internal:dict-improvements
stress-corrosion-cracking	en	Fusion/nuclear engineering term referring to 'stress-corrosion cracking' in technical context.	internal:dict-improvements
stress-corrosion-cracking	zh	聚变/核工程术语，指“应力腐蚀开裂”这一技术概念。	internal:dict-improvements
strike-point	en	Fusion/nuclear engineering term referring to 'strike point' in technical context.	internal:dict-improvements
strike-point	zh	聚变/核工程术语，指“打击点”这一技术概念。	internal:dict-improvements
strombolian-eruption	zh	聚变/核工程术语，对应英文“strombolian eruption”。	internal:dict-improvements
strong-scaling	en	Fusion/nuclear engineering term referring to 'strong scaling' in technical context.	internal:dict-improvements
strong-scaling	zh	聚变/核工程术语，指“强扩展”这一技术概念。	internal:dict-improvements
strongly-penetrating-radiation	zh	聚变/核工程术语，对应英文“strongly penetrating radiation”。	internal:dict-improvements
structural-integrity	en	Fusion/nuclear engineering term referring to 'Structural Integrity' in technical context.	internal:dict-improvements
structural-integrity	zh	聚变/核工程术语，指“结构完整性”这一技术概念。	internal:dict-improvements
structure	zh	聚变/核工程术语，对应英文“structure”。	internal:dict-improvements
structured-mesh	en	Fusion/nuclear engineering term referring to 'structured mesh' in technical context.	internal:dict-improvements
structured-mesh	zh	聚变/核工程术语，指“结构网格”这一技术概念。	internal:dict-improvements
structures-systems-and-components	zh	聚变/核工程术语，对应英文“structures, systems and components (SSCs)”。	internal:dict-improvements
sub-seabed-disposal	zh	聚变/核工程术语，对应英文“sub-seabed disposal”。	internal:dict-improvements
subcooled-boiling	en	Fusion/nuclear engineering term referring to 'subcooled boiling' in technical context.	internal:dict-improvements
subcooled-boiling	zh	聚变/核工程术语，指“过冷沸腾”这一技术概念。	internal:dict-improvements
subcritical-turbulence	en	Fusion/nuclear engineering term referring to 'subcritical turbulence' in technical context.	internal:dict-improvements
subcritical-turbulence	zh	聚变/核工程术语，指“亚临界湍流”这一技术概念。	internal:dict-improvements
substantiation	zh	聚变/核工程术语，对应英文“substantiation”。	internal:dict-improvements
super-h-mode	en	Fusion/nuclear engineering term referring to 'super H-mode' in technical context.	internal:dict-improvements
super-h-mode	zh	聚变/核工程术语，指“超级H模”这一技术概念。	internal:dict-improvements
super-x-divertor	en	Fusion/nuclear engineering term referring to 'Super-X divertor' in technical context.	internal:dict-improvements
super-x-divertor	zh	聚变/核工程术语，指“Super-X偏滤器”这一技术概念。	internal:dict-improvements
superconducting-joint	en	Fusion/nuclear engineering term referring to 'superconducting joint' in technical context.	internal:dict-improvements
superconducting-joint	zh	聚变/核工程术语，指“超导接头”这一技术概念。	internal:dict-improvements
superconducting-magnet	en	Fusion/nuclear engineering term referring to 'superconducting magnet' in technical context.	internal:dict-improvements
superconducting-magnet	zh	聚变/核工程术语，指“超导磁体”这一技术概念。	internal:dict-improvements
supercritical-co2	en	Fusion/nuclear engineering term referring to 'supercritical CO2' in technical context.	internal:dict-improvements
supercritical-co2	zh	聚变/核工程术语，指“超临界二氧化碳”这一技术概念。	internal:dict-improvements
supercritical-co2-cycle	en	Fusion/nuclear engineering term referring to 'supercritical CO2 cycle' in technical context.	internal:dict-improvements
supercritical-co2-cycle	zh	聚变/核工程术语，指“超临界二氧化碳循环”这一技术概念。	internal:dict-improvements
supercritical-helium	zh	聚变/核工程术语，对应英文“Supercritical Helium”。	internal:dict-improvements
supervised-area	zh	聚变/核工程术语，对应英文“supervised area”。	internal:dict-improvements
supplier	zh	聚变/核工程术语，对应英文“supplier (of a source)”。	internal:dict-improvements
supply-chain	en	Fusion/nuclear engineering term referring to 'supply chain' in technical context.	internal:dict-improvements
supply-chain	zh	聚变/核工程术语，指“供应链”这一技术概念。	internal:dict-improvements
surface-contaminated-object	zh	聚变/核工程术语，对应英文“surface contaminated object (SCO)”。	internal:dict-improvements
surface-faulting	zh	聚变/核工程术语，对应英文“surface faulting”。	internal:dict-improvements
surface-mesh	en	Fusion/nuclear engineering term referring to 'surface mesh' in technical context.	internal:dict-improvements
surface-mesh	zh	聚变/核工程术语，指“表面网格”这一技术概念。	internal:dict-improvements
surface-morphology	en	Fusion/nuclear engineering term referring to 'surface morphology' in technical context.	internal:dict-improvements
surface-morphology	zh	聚变/核工程术语，指“表面形貌”这一技术概念。	internal:dict-improvements
surface-recombination	en	Fusion/nuclear engineering term referring to 'surface recombination' in technical context.	internal:dict-improvements
surface-recombination	zh	聚变/核工程术语，指“表面复合”这一技术概念。	internal:dict-improvements
surface-roughening	en	Fusion/nuclear engineering term referring to 'surface roughening' in technical context.	internal:dict-improvements
surface-roughening	zh	聚变/核工程术语，指“表面粗糙化”这一技术概念。	internal:dict-improvements
surveillance	zh	聚变/核工程术语，对应英文“surveillance”。	internal:dict-improvements
surveillance-testing	zh	聚变/核工程术语，对应英文“surveillance testing”。	internal:dict-improvements
survey	zh	聚变/核工程术语，对应英文“survey”。	internal:dict-improvements
synchrotron-radiation	en	Fusion/nuclear engineering term referring to 'synchrotron radiation' in technical context.	internal:dict-improvements
system	zh	聚变/核工程术语，指“系统”这一技术概念。	internal:dict-improvements
system-code	zh	聚变/核工程术语，对应英文“system code”。	internal:dict-improvements
system-code-validation	zh	聚变/核工程术语，对应英文“system code validation”。	internal:dict-improvements
system-code-verification	zh	聚变/核工程术语，对应英文“system code verification”。	internal:dict-improvements
system-validation	zh	聚变/核工程术语，对应英文“system validation”。	internal:dict-improvements
systems-engineering	en	Fusion/nuclear engineering term referring to 'systems engineering' in technical context.	internal:dict-improvements
systems-engineering	zh	聚变/核工程术语，指“系统工程”这一技术概念。	internal:dict-improvements
t-15md	zh	聚变/核工程术语，对应英文“T-15MD”。	internal:dict-improvements
tailings	zh	聚变/核工程术语，对应英文“tailings”。	internal:dict-improvements
tallying	en	Fusion/nuclear engineering term referring to 'tallying' in technical context.	internal:dict-improvements
tallying	zh	聚变/核工程术语，指“计数统计”这一技术概念。	internal:dict-improvements
tank	zh	聚变/核工程术语，对应英文“tank”。	internal:dict-improvements
target-fabrication	en	Fusion/nuclear engineering term referring to 'target fabrication' in technical context.	internal:dict-improvements
target-fabrication	zh	聚变/核工程术语，指“靶制造”这一技术概念。	internal:dict-improvements
target-tissue-or-organ	zh	聚变/核工程术语，对应英文“target tissue or organ”。	internal:dict-improvements
task-related-monitoring	zh	聚变/核工程术语，对应英文“task related monitoring”。	internal:dict-improvements
taylor-relaxation	en	Fusion/nuclear engineering term referring to 'Taylor relaxation' in technical context.	internal:dict-improvements
taylor-relaxation	zh	聚变/核工程术语，指“Taylor弛豫”这一技术概念。	internal:dict-improvements
taylor-state	en	Fusion/nuclear engineering term referring to 'Taylor state' in technical context.	internal:dict-improvements
taylor-state	zh	聚变/核工程术语，指“Taylor态”这一技术概念。	internal:dict-improvements
tbm	en	Fusion/nuclear engineering term referring to 'test blanket module' in technical context.	internal:dict-improvements
tbm	zh	聚变/核工程术语，指“实验包层模块”这一技术概念。	internal:dict-improvements
tcv	zh	聚变/核工程术语，对应英文“TCV”。	internal:dict-improvements
tearing-mode	en	Fusion/nuclear engineering term referring to 'tearing mode' in technical context.	internal:dict-improvements
techno-economic-analysis	en	Fusion/nuclear engineering term referring to 'techno-economic analysis' in technical context.	internal:dict-improvements
techno-economic-analysis	zh	聚变/核工程术语，指“技术经济分析”这一技术概念。	internal:dict-improvements
technological-obsolescence	zh	聚变/核工程术语，对应英文“technological obsolescence”。	internal:dict-improvements
tem	en	Fusion/nuclear engineering term referring to 'trapped electron mode' in technical context.	internal:dict-improvements
tem	zh	聚变/核工程术语，指“俘获电子模”这一技术概念。	internal:dict-improvements
temperature-pedestal	en	Fusion/nuclear engineering term referring to 'temperature pedestal' in technical context.	internal:dict-improvements
temperature-pedestal	zh	聚变/核工程术语，指“温度基座”这一技术概念。	internal:dict-improvements
temporary-relocation	zh	聚变/核工程术语，对应英文“temporary relocation”。	internal:dict-improvements
tetrahedral-mesh	en	Fusion/nuclear engineering term referring to 'tetrahedral mesh' in technical context.	internal:dict-improvements
tetrahedral-mesh	zh	聚变/核工程术语，指“四面体网格”这一技术概念。	internal:dict-improvements
tf-ripple	en	Fusion/nuclear engineering term referring to 'toroidal field ripple' in technical context.	internal:dict-improvements
tftr	zh	聚变/核工程术语，对应英文“TFTR”。	internal:dict-improvements
therapeutic-exposure	zh	聚变/核工程术语，对应英文“therapeutic exposure”。	internal:dict-improvements
thermal-desorption	en	Fusion/nuclear engineering term referring to 'thermal desorption' in technical context.	internal:dict-improvements
thermal-desorption	zh	聚变/核工程术语，指“热脱附”这一技术概念。	internal:dict-improvements
thermal-fatigue	en	Fusion/nuclear engineering term referring to 'thermal fatigue' in technical context.	internal:dict-improvements
thermal-fatigue	zh	聚变/核工程术语，指“热疲劳”这一技术概念。	internal:dict-improvements
thermal-force	en	Fusion/nuclear engineering term referring to 'thermal force' in technical context.	internal:dict-improvements
thermal-force	zh	聚变/核工程术语，指“热力”这一技术概念。	internal:dict-improvements
thermal-hydraulics	en	Fusion/nuclear engineering term referring to 'thermal hydraulics' in technical context.	internal:dict-improvements
thermal-hydraulics	zh	聚变/核工程术语，指“热工水力”这一技术概念。	internal:dict-improvements
thermal-quench	en	Fusion/nuclear engineering term referring to 'thermal quench' in technical context.	internal:dict-improvements
thermal-quench	zh	聚变/核工程术语，指“热猝灭”这一技术概念。	internal:dict-improvements
thermal-scattering	en	Fusion/nuclear engineering term referring to 'thermal scattering' in technical context.	internal:dict-improvements
thermal-scattering	zh	聚变/核工程术语，指“热散射”这一技术概念。	internal:dict-improvements
thermal-shield	zh	聚变/核工程术语，指“冷屏”这一技术概念。	internal:dict-improvements
thermal-shock	en	Fusion/nuclear engineering term referring to 'thermal shock' in technical context.	internal:dict-improvements
thermal-shock	zh	聚变/核工程术语，指“热冲击”这一技术概念。	internal:dict-improvements
thermodiffusion	en	Fusion/nuclear engineering term referring to 'thermodiffusion' in technical context.	internal:dict-improvements
thermodiffusion	zh	聚变/核工程术语，指“热扩散”这一技术概念。	internal:dict-improvements
thermodynamic-diameter	zh	聚变/核工程术语，对应英文“thermodynamic diameter”。	internal:dict-improvements
thermonuclear-fusion	en	Fusion/nuclear engineering term referring to 'thermonuclear fusion' in technical context.	internal:dict-improvements
theta-pinch	en	Fusion/nuclear engineering term referring to 'theta pinch' in technical context.	internal:dict-improvements
thorium-series	zh	聚变/核工程术语，对应英文“thorium series”。	internal:dict-improvements
thread	en	Fusion/nuclear engineering term referring to 'thread' in technical context.	internal:dict-improvements
thread	zh	聚变/核工程术语，指“线程”这一技术概念。	internal:dict-improvements
three-alpha-reaction	en	Fusion/nuclear engineering term referring to 'three-alpha reaction' in technical context.	internal:dict-improvements
three-alpha-reaction	zh	聚变/核工程术语，指“三α反应”这一技术概念。	internal:dict-improvements
through-or-into	zh	聚变/核工程术语，对应英文“through or into”。	internal:dict-improvements
tilt-instability	en	Fusion/nuclear engineering term referring to 'tilt instability' in technical context.	internal:dict-improvements
tilt-instability	zh	聚变/核工程术语，指“倾斜不稳定性”这一技术概念。	internal:dict-improvements
time-based-maintenance	zh	聚变/核工程术语，对应英文“time based maintenance”。	internal:dict-improvements
time-cutoff	en	Fusion/nuclear engineering term referring to 'time cutoff' in technical context.	internal:dict-improvements
time-cutoff	zh	聚变/核工程术语，指“时间截断”这一技术概念。	internal:dict-improvements
tissue-equivalent-material	zh	聚变/核工程术语，对应英文“tissue equivalent material”。	internal:dict-improvements
tissue-substitute	zh	聚变/核工程术语，对应英文“tissue substitute”。	internal:dict-improvements
tissue-weighting-factor-wt	zh	聚变/核工程术语，对应英文“tissue weighting factor, wT”。	internal:dict-improvements
tokamak-assembly	en	Fusion/nuclear engineering term referring to 'Tokamak Assembly' in technical context.	internal:dict-improvements
tokamak-assembly	zh	聚变/核工程术语，指“托卡马克装配”这一技术概念。	internal:dict-improvements
tokamak-building	en	Fusion/nuclear engineering term referring to 'tokamak building' in technical context.	internal:dict-improvements
tokamak-building	zh	聚变/核工程术语，指“托卡马克厂房”这一技术概念。	internal:dict-improvements
tokamak-pit	en	Fusion/nuclear engineering term referring to 'tokamak pit' in technical context.	internal:dict-improvements
tokamak-pit	zh	聚变/核工程术语，指“托卡马克堆坑”这一技术概念。	internal:dict-improvements
tore-supra	zh	聚变/核工程术语，对应英文“Tore Supra”。	internal:dict-improvements
toroidal-alfven-eigenmode	en	Fusion/nuclear engineering term referring to 'toroidal Alfvén eigenmode' in technical context.	internal:dict-improvements
toroidal-current	zh	聚变/核工程术语，对应英文“Toroidal Current”。	internal:dict-improvements
toroidal-field-coil	en	Fusion/nuclear engineering term referring to 'toroidal field coil' in technical context.	internal:dict-improvements
toroidal-field-coil	zh	聚变/核工程术语，指“纵场线圈”这一技术概念。	internal:dict-improvements
transboundary-exposure	zh	聚变/核工程术语，对应英文“transboundary exposure”。	internal:dict-improvements
transboundary-movement	zh	聚变/核工程术语，对应英文“transboundary movement”。	internal:dict-improvements
transient-population-group	zh	聚变/核工程术语，对应英文“transient population group”。	internal:dict-improvements
translation	en	Fusion/nuclear engineering term referring to 'translation' in technical context.	internal:dict-improvements
translation	zh	聚变/核工程术语，指“平移”这一技术概念。	internal:dict-improvements
transmutation	en	Fusion/nuclear engineering term referring to 'transmutation' in technical context.	internal:dict-improvements
transmutation	zh	聚变/核工程术语，指“嬗变”这一技术概念。	internal:dict-improvements
transnational-emergency	zh	聚变/核工程术语，对应英文“transnational emergency”。	internal:dict-improvements
